	Energies	f
0	0.07762271354038221	5.750136001967814e-10
1	0.07762272118223848	3.98983686006226e-24
2	0.07762284799527461	1.1431102375567964e-07
3	0.07762447275800184	4.137160292343789e-08
4	0.07762470281653625	6.062357362479918e-08
5	0.10776426012149505	0.6324136517044125
6	0.10777973897143009	0.6338808724958607
7	0.10778823295026582	0.6380129027212553
8	0.16385401665776486	7.223099329348334e-09
9	0.1867875876644465	0.01969589819024344
10	0.18687453422480255	0.01968587159380665
11	0.18702005520164178	0.01970777825509186
12	0.19880631920002395	7.3783214768093515e-06
13	0.19897161342613096	8.483044377522122e-07
14	0.19902731755409153	3.983900629993664e-10
