	Energies	f
0	0.0651215545377204	5.980510796019616e-07
1	0.06512276924266018	9.533688783328077e-07
2	0.0651300507791934	9.946684422388161e-12
3	0.06513731370889204	9.50455317563426e-07
4	0.06513845700024065	6.055259965234043e-07
5	0.08283365985147914	0.33631813844868086
6	0.08283648033516415	0.3362317434433737
7	0.08284386688545675	0.33583692043798963
8	0.15777136411097042	2.758381864456993e-07
9	0.18080017721934066	0.0005093684255042605
10	0.18080576355569594	0.0005069240685031182
11	0.18081263092876898	0.0005061216102164089
12	0.1971339333154673	3.5680077094268605e-07
13	0.19713398777997607	4.927966925105519e-07
14	0.1971370167922416	8.680191175786672e-12
15	0.19713762755728143	4.930536190031359e-07
16	0.19713845196522645	1.6675792519506481e-07
17	0.33730736580598614	0.004103984575513921
18	0.3373145270264525	0.004116323853675645
19	0.3373231092571422	0.00411315572220828
