	Energies	f
0	0.07761115321188491	3.871026380208534e-08
1	0.07762677969652064	3.6073146293227396e-08
2	0.07762681871326212	2.5996419980406933e-17
3	0.07762873358487929	1.2809346456402992e-07
4	0.0776525554473644	1.136001417543409e-06
5	0.10757795330748267	0.6267404781702328
6	0.10768065153365629	0.630987768031934
7	0.1082175452752923	0.6458839050026954
8	0.1645867354159227	0.0003069135105733329
9	0.18616170527397127	0.0205727753029799
10	0.18666854869968685	0.019974070348835547
11	0.18858444045176076	0.01607361265849211
12	0.1960306638544423	5.396445336211126e-06
13	0.19875926330552604	3.6139150651733497e-06
14	0.19894004654271202	2.924209132590718e-12
