	Energies	f
0	0.06494994486950659	3.673122726527026e-09
1	0.06495095894597602	5.6703550683834635e-12
2	0.06495095895577055	5.670455326390987e-12
3	0.06580860667645529	2.057052910225149e-10
4	0.06580884321856287	1.8557172965309187e-11
5	0.06580884325132036	1.8565000220442834e-11
6	0.06580893217470317	1.7941839943981968e-18
7	0.06580893245686957	2.2552192331770414e-20
8	0.07762383120103271	3.3776946966554274e-08
9	0.07762414727941652	4.6232522320405685e-09
10	0.07762414728436547	4.623422407178578e-09
11	0.07762417553967628	2.363778428136665e-15
12	0.07762417576943433	1.7299575633066872e-15
13	0.10778597623470848	0.6366427983618599
14	0.10779047039459974	0.6345376020776481
15	0.10779047045271493	0.6345376029070466
16	0.14583278821963286	0.10488099605332574
17	0.15252777904315762	3.721306467801911e-08
18	0.16392016899697823	1.27295412808616e-07
19	0.1780914001780792	1.1982998767763637e-06
