	Energies	f
0	0.06495097615767347	1.913237115268898e-12
1	0.06495097615767347	1.9155895874557374e-12
2	0.06499223249944365	2.711442443410966e-07
3	0.06581036339316754	1.579780886342207e-11
4	0.06581036348030171	1.5829988587019237e-11
5	0.06581041923185121	2.971433199952416e-26
6	0.06581041997079629	2.9114917570726485e-25
7	0.06581584737608354	7.571765650048212e-08
8	0.07762513649048386	1.9968500550353557e-08
9	0.07762513649048386	1.996759296128243e-08
10	0.07762515376134466	3.10249675007597e-14
11	0.07762515431196532	1.2770529100763927e-13
12	0.07762750516580753	3.6612272721429923e-09
13	0.10778438352794802	0.6339087290607222
14	0.10778438368913235	0.6339087314414835
15	0.1078453875873064	0.6384799697101169
16	0.15256494933479275	1.201951352635746e-06
17	0.1639013031687532	1.8061804941620682e-06
18	0.17811551263216718	1.7541926827907847e-07
19	0.17811551280808882	1.7542211168010321e-07
